name,html_url,size
zookeeper,https://github.com/apache/zookeeper,128397
camel,https://github.com/apache/camel,572222
commons-lang,https://github.com/apache/commons-lang,26071
activemq,https://github.com/apache/activemq,58435
hive,https://github.com/apache/hive,561127
karaf,https://github.com/apache/karaf,67084
bookkeeper,https://github.com/apache/bookkeeper,58252
ambari,https://github.com/apache/ambari,365428
accumulo,https://github.com/apache/accumulo,82049
jackrabbit-oak,https://github.com/apache/jackrabbit-oak,74960
drill,https://github.com/apache/drill,62845
druid,https://github.com/apache/druid,237594
jena,https://github.com/apache/jena,422407
tomee,https://github.com/apache/tomee,83303
cloudstack,https://github.com/apache/cloudstack,569870
storm,https://github.com/apache/storm,205501
helix,https://github.com/apache/helix,90523
jackrabbit-filevault,https://github.com/apache/jackrabbit-filevault,4594
cxf,https://github.com/apache/cxf,123757
streams,https://github.com/apache/streams,147991
tajo,https://github.com/apache/tajo,30703
incubator-brooklyn,https://github.com/apache/incubator-brooklyn,258028
pinot,https://github.com/apache/pinot,230622
hbase,https://github.com/apache/hbase,437860
stratos,https://github.com/apache/stratos,67395
phoenix,https://github.com/apache/phoenix,70565
flink,https://github.com/apache/flink,424680
parquet-mr,https://github.com/apache/parquet-mr,17808
hadoop,https://github.com/apache/hadoop,530412
reef,https://github.com/apache/reef,40208
karaf-decanter,https://github.com/apache/karaf-decanter,8363
commons-text,https://github.com/apache/commons-text,2737
nifi,https://github.com/apache/nifi,193267
kylin,https://github.com/apache/kylin,304908
tinkerpop,https://github.com/apache/tinkerpop,182945
ignite,https://github.com/apache/ignite,412735
zeppelin,https://github.com/apache/zeppelin,98047
activemq-artemis,https://github.com/apache/activemq-artemis,63913
apex-core,https://github.com/apache/apex-core,14807
apex-malhar,https://github.com/apache/apex-malhar,91989
rya,https://github.com/apache/rya,8748
systemds,https://github.com/apache/systemds,333609
brooklyn-server,https://github.com/apache/brooklyn-server,43347
incubator-retired-edgent,https://github.com/apache/incubator-retired-edgent,25183
nifi-minifi,https://github.com/apache/nifi-minifi,1992
guacamole-client,https://github.com/apache/guacamole-client,21055
commons-crypto,https://github.com/apache/commons-crypto,1674
incubator-retired-pirk,https://github.com/apache/incubator-retired-pirk,439565
bahir-flink,https://github.com/apache/bahir-flink,1351
rocketmq,https://github.com/apache/rocketmq,11820
nifi-registry,https://github.com/apache/nifi-registry,9772
servicecomb-java-chassis,https://github.com/apache/servicecomb-java-chassis,18312
servicecomb-pack,https://github.com/apache/servicecomb-pack,15119
myfaces-tobago,https://github.com/apache/myfaces-tobago,78824
plc4x,https://github.com/apache/plc4x,135176
commons-geometry,https://github.com/apache/commons-geometry,7413
rocketmq-spring,https://github.com/apache/rocketmq-spring,524
camel-k-runtime,https://github.com/apache/camel-k-runtime,4981
camel-quarkus,https://github.com/apache/camel-quarkus,31847
ozone,https://github.com/apache/ozone,42046
flink-statefun,https://github.com/apache/flink-statefun,5451
incubator-inlong,https://github.com/apache/incubator-inlong,16042
avro,https://github.com/apache/avro,20069
pulsar,https://github.com/apache/pulsar,1431780
dolphinscheduler,https://github.com/apache/dolphinscheduler,94564
hudi,https://github.com/apache/hudi,133655
shardingsphere,https://github.com/apache/shardingsphere,445401
dubbo-admin,https://github.com/apache/dubbo-admin,14310
shardingsphere-elasticjob,https://github.com/apache/shardingsphere-elasticjob,43511
hop,https://github.com/apache/hop,122493
dubbo-spring-boot-project,https://github.com/apache/dubbo-spring-boot-project,1608
fluo,https://github.com/apache/fluo,4402
skywalking,https://github.com/apache/skywalking,161629
