name,html_url,size,default_branch,language
hawq,https://github.com/apache/hawq,182943,master,C
madlib,https://github.com/apache/madlib,20065,master,C++
incubator-heron,https://github.com/apache/incubator-heron,620042,master,Java
rya,https://github.com/apache/rya,8748,master,Java
mynewt-core,https://github.com/apache/mynewt-core,180738,master,C
systemds,https://github.com/apache/systemds,333609,main,Java
brooklyn-server,https://github.com/apache/brooklyn-server,43347,master,Java
fineract,https://github.com/apache/fineract,52749,develop,Java
lucene-solr,https://github.com/apache/lucene-solr,585082,master,
beam,https://github.com/apache/beam,267628,master,Java
arrow,https://github.com/apache/arrow,105924,master,C++
incubator-retired-edgent,https://github.com/apache/incubator-retired-edgent,25183,develop,Java
nifi-minifi,https://github.com/apache/nifi-minifi,1992,main,Java
guacamole-client,https://github.com/apache/guacamole-client,21055,master,Java
commons-crypto,https://github.com/apache/commons-crypto,1674,master,Java
incubator-retired-quickstep,https://github.com/apache/incubator-retired-quickstep,12007,master,C++
nifi-minifi-cpp,https://github.com/apache/nifi-minifi-cpp,36983,main,C++
incubator-retired-pirk,https://github.com/apache/incubator-retired-pirk,439565,master,Java
carbondata,https://github.com/apache/carbondata,84178,master,Scala
openwhisk-website,https://github.com/apache/openwhisk-website,43290,master,HTML
bahir-flink,https://github.com/apache/bahir-flink,1351,master,Java
incubator-ariatosca,https://github.com/apache/incubator-ariatosca,1745,master,Python
trafficcontrol,https://github.com/apache/trafficcontrol,109771,master,Go
openwhisk-wskdeploy,https://github.com/apache/openwhisk-wskdeploy,29356,master,Go
openwhisk-package-kafka,https://github.com/apache/openwhisk-package-kafka,1048,master,Python
openwhisk-devtools,https://github.com/apache/openwhisk-devtools,75895,master,JavaScript
netbeans-website,https://github.com/apache/netbeans-website,293707,master,SCSS
rocketmq,https://github.com/apache/rocketmq,11820,master,Java
geode-examples,https://github.com/apache/geode-examples,1433,develop,Java
incubator-weex,https://github.com/apache/incubator-weex,282740,master,C++
geode-native,https://github.com/apache/geode-native,23858,develop,C++
nifi-registry,https://github.com/apache/nifi-registry,9772,main,Java
griffin,https://github.com/apache/griffin,28267,master,Scala
rocketmq-externals,https://github.com/apache/rocketmq-externals,36170,master,Java
openwhisk-deploy-kube,https://github.com/apache/openwhisk-deploy-kube,1319,master,Shell
servicecomb-java-chassis,https://github.com/apache/servicecomb-java-chassis,18312,master,Java
servicecomb-service-center,https://github.com/apache/servicecomb-service-center,21987,master,Go
servicecomb-pack,https://github.com/apache/servicecomb-pack,15119,master,Java
myfaces-tobago,https://github.com/apache/myfaces-tobago,78824,master,Java
daffodil,https://github.com/apache/daffodil,176264,main,Scala
netbeans,https://github.com/apache/netbeans,343637,master,Java
incubator-weex-ui,https://github.com/apache/incubator-weex-ui,6179,master,Vue
incubator-sdap-nexus,https://github.com/apache/incubator-sdap-nexus,4842,master,Python
openwhisk-release,https://github.com/apache/openwhisk-release,2062,master,Shell
plc4x,https://github.com/apache/plc4x,135176,develop,Java
skywalking-website,https://github.com/apache/skywalking-website,417634,master,CSS
camel-website,https://github.com/apache/camel-website,723886,main,CSS
